type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
4	6	'United Kingdom'	'Egypt'	76	16.57085991	8.661732456	0.206897306	0	2	1	1	2012
4	5	'Mexico'	'China'	41	16.69239508	20.43292683	0.206487839	0	3	0	1	2012
4	7	'Malaysia'	'Egypt'	43	17.6466139	10.8624031	0.206187165	0	2	1	0	2012
4	4	'Singapore'	'China'	264	15.06907278	6.520517677	0.2060183	0	4	0	0	2012
4	5	'United States of America'	'South Korea'	55	16.74357613	13.23787879	0.205427652	0	3	0	0	2012
4	5	'Malaysia'	'United Arab Emirates'	81	17.05613729	8.563786008	0.20502895	0	1	1	1	2012
1	4	'Canada'	'China'	113	11.70914844	21.90855457	0.203806789	0	1	0	0	2012
1	5	'Australia'	'Spain'	36	11.47965578	46.22685185	0.20375413	0	2	1	1	2012
4	5	'India'	'Saudi Arabia'	108	16.30036046	6.435570988	0.202770017	0	2	1	1	2012
1	2	'New Zealand'	'China'	163	11.72505417	21.24233129	0.20244784	0	4	0	1	2012
4	6	'Egypt'	'Malaysia'	44	16.12270853	14.66761364	0.202378214	0	2	0	0	2012
4	6	'Egypt'	'Hong Kong S.A.R.'	29	17.6778323	18.55603448	0.202321159	0	4	1	0	2012
4	4	'India'	'Egypt'	96	16.84771961	8.916232639	0.201069589	0	1	1	1	2012
4	4	'Australia'	'Japan'	91	16.49692488	9.98489011	0.200769722	0	2	0	1	2012
4	2	'Japan'	'China'	762	14.26945011	3.636100175	0.200471111	0	3	1	0	2012
4	7	'United Arab Emirates'	'China'	35	16.02655894	16.16309524	0.199014376	0	3	0	1	2012
4	6	'Sri Lanka'	'Egypt'	50	17.32981378	10.95916667	0.198884137	0	4	1	0	2012
1	5	'Australia'	'Brazil'	36	12.48301732	59.73148148	0.19871431	0	4	0	0	2012
4	6	'Saudi Arabia'	'Singapore'	42	16.1639334	14.61507937	0.198332369	0	4	0	0	2012
4	6	'China'	'Malaysia'	177	15.11164903	3.996233522	0.198284753	0	3	1	0	2012
1	3	'Brazil'	'Singapore'	75	11.58673321	34.29833333	0.197890604	0	1	0	1	2012
1	4	'Brazil'	'United States of America'	105	11.93193237	22.01785714	0.197726896	0	1	0	1	2012
1	4	'China'	'United States of America'	145	11.98894842	18.44195402	0.197230976	0	1	1	1	2012
4	4	'Hong Kong S.A.R.'	'China'	588	13.41306133	2.379606009	0.196632985	0	4	1	1	2012
1	5	'Brazil'	'Japan'	40	11.57396526	46.421875	0.196249362	0	3	0	1	2012
1	4	'Australia'	'India'	109	11.88894669	22.62538226	0.195862846	0	2	0	0	2012
4	5	'United States of America'	'Panama'	112	16.17856054	7.861235119	0.195058827	0	4	0	0	2012
4	4	'Singapore'	'Hong Kong S.A.R.'	266	15.24063829	3.951441103	0.19344261	0	3	1	1	2012
4	5	'Panama'	'China'	36	15.93285018	26.8912037	0.193292495	0	1	1	1	2012
1	4	'Indonesia'	'Japan'	210	11.19550141	12.58055556	0.192664238	0	4	0	0	2012
4	5	'Mexico'	'Japan'	40	17.47782009	15.984375	0.191198994	0	3	1	0	2012
